Date; Q; P; Tg
15.05.2012 13:09:20;0,0138;2,21;7,5458
15.05.2012 14:02:22;0,0138;2,2;7,5824
15.05.2012 15:02:20;0,01311;2,19;7,5824
15.05.2012 16:02:42;0,0161;2,17;7,5824
15.05.2012 16:27:26;0,0161;2,17;7,5824
15.05.2012 16:47:22;0,01311;2,19;7,5824
15.05.2012 18:03:02;0,02369;2,16;7,619
15.05.2012 19:03:06;0,03059;2,16;7,6557
15.05.2012 20:03:04;0,03289;2,15;7,7289
15.05.2012 21:03:08;0,03473;2,15;7,6923
15.05.2012 22:03:08;0,03312;2,15;7,6557
15.05.2012 23:03:06;0,02507;2,15;7,6557
16.05.2012 0:03:04;0,01955;2,16;7,6923
16.05.2012 1:03:04;0,01679;2,2;7,6923
16.05.2012 2:03:02;0,01288;2,24;7,6923
16.05.2012 3:03:04;0,01288;2,27;7,6923
16.05.2012 4:03:04;0,01219;2,3;7,6923
16.05.2012 5:03:00;0,01242;2,34;7,6923
16.05.2012 6:03:02;0,01679;2,36;7,6557
16.05.2012 7:03:06;0,02714;2,39;7,6557
16.05.2012 8:02:54;0,023;2,37;7,6923
16.05.2012 9:02:56;0,0207;2,37;7,7289
16.05.2012 9:41:52;0,01771;2,37;7,7289
16.05.2012 9:53:30;0,01886;2,36;7,7289
16.05.2012 10:06:14;0,01909;2,36;7,7289
16.05.2012 11:06:30;0,01748;2,36;7,7656
16.05.2012 13:31:56;0,01587;2,35;7,8388
16.05.2012 14:28:02;0,01472;2,35;7,8022
16.05.2012 15:15:22;0,00989;2,35;7,8388
16.05.2012 16:06:06;0,0115;2,34;7,7656
16.05.2012 17:06:42;0,01449;2,34;7,7656
16.05.2012 18:06:06;0,01679;2,34;7,7656
16.05.2012 19:06:42;0,01702;2,34;7,7289
16.05.2012 20:06:42;0,01725;2,3;7,6923
16.05.2012 21:05:56;0,02139;2,27;7,6923
16.05.2012 22:05:58;0,02047;2,24;7,6557
16.05.2012 23:05:56;0,01541;2,22;7,6923
17.05.2012 0:05:46;0,01081;2,2;7,7289
17.05.2012 1:05:42;0,00897;2,21;7,7656
17.05.2012 2:05:46;0,00805;2,24;7,8022
17.05.2012 3:05:46;0,0069;2,26;7,7656
17.05.2012 4:05:56;0,00667;2,29;7,7289
17.05.2012 5:05:36;0,0069;2,31;7,7289
17.05.2012 6:05:58;0,00943;2,32;7,6923
17.05.2012 7:06:06;0,0184;2,34;7,6923
17.05.2012 8:21:52;0,01702;2,32;7,7289
17.05.2012 9:13:06;0,01219;2,31;7,6557
17.05.2012 10:21:52;0,01288;2,3;7,6923
17.05.2012 11:05:26;0,01012;2,25;7,7289
17.05.2012 12:05:20;0,01127;2,21;7,8022
17.05.2012 13:05:16;0,01173;2,2;7,7656
17.05.2012 14:05:10;0,01127;2,16;7,7289
17.05.2012 15:05:34;0,01058;2,12;7,7656
17.05.2012 16:06:02;0,01219;2,11;7,8388
18.05.2012 7:44:52;0,02461;2,21;7,7289
18.05.2012 8:05:54;0,02507;2,21;7,7289
18.05.2012 9:06:18;0,02185;2,24;7,7289
18.05.2012 10:06:50;0,01541;2,21;7,7656
18.05.2012 11:06:40;0,01518;2,19;7,8022
18.05.2012 12:07:04;0,01472;2,17;7,7656
18.05.2012 13:06:40;0,0138;2,15;7,6923
18.05.2012 14:06:48;0,01242;2,14;7,7289
18.05.2012 15:07:02;0,01219;2,12;7,7656
18.05.2012 16:07:00;0,04784;2,11;7,7656
18.05.2012 17:06:50;0,05635;2,1;7,7656
18.05.2012 18:06:46;0,0598;2,09;7,7656
18.05.2012 19:06:44;0,06095;2,07;7,7289
18.05.2012 20:06:46;0,06187;2,07;7,7289
18.05.2012 21:06:40;0,02645;2,06;7,7289
18.05.2012 22:06:34;0,02369;2,06;7,7289
18.05.2012 23:06:36;0,02185;2,05;7,7289
19.05.2012 0:06:34;0,01656;2,06;7,7289
19.05.2012 1:06:52;0,01334;2,09;7,7656
19.05.2012 2:06:56;0,0115;2,11;7,7656
19.05.2012 3:06:40;0,0115;2,14;7,7656
19.05.2012 4:06:14;0,01127;2,15;7,7656
19.05.2012 5:06:24;0,01104;2,17;7,7656
19.05.2012 6:06:40;0,01265;2,19;7,7656
19.05.2012 7:06:44;0,01564;2,2;7,8022
19.05.2012 8:06:36;0,01771;2,21;7,8388
19.05.2012 9:06:40;0,01932;2,22;7,8755
19.05.2012 10:06:40;0,01771;2,24;7,9121
19.05.2012 11:06:40;0,01633;2,24;7,9121
19.05.2012 12:06:56;0,01196;2,24;7,9853
19.05.2012 13:06:38;0,01173;2,22;7,9853
19.05.2012 14:06:36;0,01288;2,24;7,9853
19.05.2012 15:06:44;0,01127;2,2;7,9853
19.05.2012 16:06:48;0,01035;2,19;8,022
19.05.2012 17:06:42;0,01173;2,17;8,022
19.05.2012 18:06:48;0,0115;2,17;7,9853
19.05.2012 19:06:50;0,01518;2,16;7,9853
19.05.2012 20:06:50;0,04738;2,15;7,9121
19.05.2012 21:06:50;0,05773;2,14;7,8755
19.05.2012 22:06:52;0,06095;2,14;7,8755
19.05.2012 23:06:46;0,02277;2,15;7,8755
20.05.2012 0:06:48;0,01035;2,16;7,8755
20.05.2012 1:06:12;0,00736;2,17;7,9121
20.05.2012 2:06:14;0,00598;2,17;7,9121
20.05.2012 3:06:32;0,00598;2,19;7,9121
20.05.2012 4:06:30;0,00552;2,2;7,9121
20.05.2012 5:06:36;0,00552;2,2;7,9121
20.05.2012 6:06:26;0,03565;2,21;7,9121
20.05.2012 7:07:00;0,01265;2,21;7,9121
20.05.2012 8:07:12;0,01173;2,22;7,9487
20.05.2012 9:07:14;0,04577;2,22;8,022
20.05.2012 10:07:02;0,05842;2,24;8,0586
20.05.2012 11:06:48;0,06026;2,24;8,0952
20.05.2012 12:06:34;0,04922;2,24;8,1319
20.05.2012 13:06:38;0,0138;2,25;8,1319
20.05.2012 14:07:02;0,01219;2,25;8,0586
20.05.2012 15:06:30;0,01104;2,25;8,0952
20.05.2012 16:06:38;0,01104;2,26;8,1319
20.05.2012 17:06:58;0,01173;2,26;8,0952
20.05.2012 18:07:36;0,03956;2,26;8,0586
20.05.2012 19:07:06;0,05382;2,25;8,0586
20.05.2012 20:06:42;0,04945;2,25;8,022
20.05.2012 21:07:14;0,02047;2,25;8,022
20.05.2012 22:07:24;0,01564;2,25;7,9853
20.05.2012 23:07:10;0,01173;2,26;7,9853
21.05.2012 0:06:24;0,00621;2,26;8,022
21.05.2012 1:05:46;0,00506;2,29;8,022
21.05.2012 2:06:00;0,00391;2,3;8,022
21.05.2012 3:05:52;0,00437;2,31;8,022
21.05.2012 4:06:00;0,00437;2,32;8,022
21.05.2012 5:05:56;0,00391;2,35;8,022
21.05.2012 6:07:02;0,0069;2,36;7,9853
21.05.2012 7:07:50;0,01495;2,36;7,9853
21.05.2012 8:07:38;0,01518;2,35;8,022
21.05.2012 9:07:22;0,01035;2,34;8,0586
21.05.2012 10:07:18;0,00966;2,32;8,0952
21.05.2012 11:07:10;0,01081;2,31;8,0952
21.05.2012 12:07:00;0,00874;2,3;8,1319
21.05.2012 13:07:14;0,00897;2,29;8,1319
21.05.2012 14:07:28;0,00966;2,29;8,1319
21.05.2012 15:07:44;0,00874;2,27;8,1319
21.05.2012 16:06:58;0,00828;2,26;8,1319
21.05.2012 17:07:04;0,00874;2,26;8,1319
21.05.2012 18:06:50;0,0115;2,25;8,1319
21.05.2012 19:06:50;0,01357;2,25;8,0952
21.05.2012 20:06:50;0,01357;2,24;8,0952
21.05.2012 21:06:56;0,01518;2,24;8,0586
21.05.2012 22:06:54;0,01863;2,22;8,0586
21.05.2012 23:06:58;0,01426;2,22;8,0586
22.05.2012 0:06:06;0,00759;2,22;8,0952
22.05.2012 1:05:46;0,0046;2,22;8,0952
22.05.2012 2:05:56;0,00437;2,22;8,1319
22.05.2012 3:05:40;0,00391;2,22;8,1319
22.05.2012 4:05:44;0,00345;2,22;8,1319
22.05.2012 5:05:40;0,00391;2,22;8,1319
22.05.2012 6:06:38;0,00621;2,22;8,1319
22.05.2012 7:06:56;0,01495;2,22;8,1319
22.05.2012 8:07:16;0,01173;2,22;8,1685
22.05.2012 9:07:04;0,00782;2,22;8,2051
22.05.2012 10:06:50;0,00736;2,22;8,2418
22.05.2012 11:07:10;0,00759;2,22;8,2418
22.05.2012 12:07:16;0,00713;2,22;8,2784
22.05.2012 13:07:06;0,00874;2,22;8,2784
22.05.2012 14:06:52;0,00805;2,22;8,2784
22.05.2012 15:08:14;0,00805;2,22;8,2784
22.05.2012 16:07:02;0,00805;2,22;8,2784
22.05.2012 17:07:00;0,00851;2,22;8,2784
22.05.2012 18:06:40;0,0115;2,22;8,2784
22.05.2012 19:07:30;0,01472;2,21;8,2418
22.05.2012 20:06:44;0,01357;2,21;8,2418
22.05.2012 21:07:18;0,01495;2,21;8,2051
22.05.2012 22:07:28;0,01794;2,21;8,2051
22.05.2012 23:07:24;0,01403;2,21;8,2051
23.05.2012 0:06:48;0,0069;2,21;8,2418
23.05.2012 1:05:56;0,00391;2,21;8,315
23.05.2012 2:05:48;0,00368;2,21;8,3516
23.05.2012 3:05:46;0,00322;2,21;8,3516
23.05.2012 4:05:52;0,00299;2,21;8,3516
23.05.2012 5:05:54;0,00345;2,22;8,3516
23.05.2012 6:07:14;0,00644;2,22;8,315
23.05.2012 7:07:46;0,01518;2,22;8,315
23.05.2012 8:07:32;0,01541;2,22;8,3516
23.05.2012 9:06:46;0,01127;2,22;8,3516
23.05.2012 10:06:24;0,01012;2,22;8,3516
23.05.2012 11:06:28;0,00828;2,22;8,3516
23.05.2012 12:06:20;0,0115;2,22;8,3883
23.05.2012 13:06:18;0,01058;2,22;8,4249
23.05.2012 14:06:42;0,0092;2,22;8,4249
23.05.2012 15:06:52;0,01035;2,22;8,4615
23.05.2012 16:05:20;0,00874;2,22;8,4615
23.05.2012 17:06:18;0,0092;2,22;8,4615
23.05.2012 18:05:22;0,01081;2,22;8,4249
23.05.2012 19:05:50;0,01403;2,21;8,4249
23.05.2012 20:06:38;0,01334;2,21;8,3883
23.05.2012 21:06:46;0,01426;2,21;8,3883
23.05.2012 22:06:30;0,01748;2,21;8,3883
23.05.2012 23:05:56;0,01357;2,21;8,3883
24.05.2012 0:05:54;0,00782;2,21;8,4249
24.05.2012 1:04:34;0,0046;2,21;8,4249
24.05.2012 2:04:30;0,00322;2,21;8,4249
24.05.2012 3:04:30;0,00322;2,21;8,4249
24.05.2012 4:04:26;0,00345;2,21;8,4249
24.05.2012 5:04:16;0,00368;2,21;8,4249
24.05.2012 6:05:12;0,0046;2,22;8,4249
24.05.2012 7:06:50;0,01472;2,22;8,4249
24.05.2012 8:05:56;0,01311;2,22;8,4615
24.05.2012 9:06:50;0,00828;2,22;8,4982
24.05.2012 10:06:40;0,00782;2,22;8,5348
24.05.2012 11:05:50;0,00805;2,22;8,5714
24.05.2012 12:06:48;0,00828;2,22;8,6081
24.05.2012 13:05:58;0,00851;2,22;8,5714
24.05.2012 14:05:58;0,00851;2,21;8,5714
24.05.2012 15:06:52;0,00897;2,21;8,6081
24.05.2012 16:06:58;0,0092;2,21;8,6081
24.05.2012 17:06:50;0,00897;2,21;8,6081
24.05.2012 18:05:48;0,01104;2,21;8,6081
24.05.2012 19:05:56;0,01403;2,21;8,5714
24.05.2012 20:05:48;0,01472;2,21;8,5714
24.05.2012 21:05:54;0,01564;2,21;8,5348
24.05.2012 22:06:14;0,01679;2,21;8,5348
24.05.2012 23:05:54;0,01518;2,21;8,5348
25.05.2012 0:05:50;0,0092;2,21;8,5714
25.05.2012 1:04:34;0,00621;2,21;8,6081
25.05.2012 2:04:32;0,00391;2,21;8,6081
25.05.2012 3:04:30;0,00437;2,21;8,6081
25.05.2012 4:04:30;0,0046;2,22;8,6081
25.05.2012 5:05:18;0,00506;2,22;8,5714
25.05.2012 6:05:34;0,00713;2,22;8,6081
25.05.2012 7:05:58;0,01472;2,22;8,5714
25.05.2012 8:05:54;0,01403;2,22;8,6447
25.05.2012 9:06:42;0,0138;2,22;8,6447
25.05.2012 10:05:56;0,01104;2,22;8,6813
25.05.2012 11:05:56;0,01035;2,22;8,7179
25.05.2012 12:06:46;0,00943;2,22;8,7179
25.05.2012 13:07:00;0,01012;2,22;8,7179
25.05.2012 14:06:56;0,01081;2,22;8,7179
25.05.2012 15:06:04;0,00966;2,22;8,7179
25.05.2012 16:07:08;0,04968;2,22;8,7546
25.05.2012 17:06:06;0,05152;2,22;8,7179
25.05.2012 18:06:04;0,05221;2,22;8,7179
25.05.2012 19:05:48;0,05359;2,21;8,7179
25.05.2012 20:05:54;0,05474;2,21;8,6813
25.05.2012 21:06:02;0,02346;2,21;8,6813
25.05.2012 22:06:24;0,01702;2,21;8,6447
25.05.2012 23:06:02;0,01633;2,21;8,6447
26.05.2012 0:06:30;0,01173;2,21;8,6813
26.05.2012 1:05:34;0,00782;2,21;8,7179
26.05.2012 2:04:36;0,00644;2,21;8,7179
26.05.2012 3:04:38;0,00667;2,21;8,7179
26.05.2012 4:04:32;0,00621;2,21;8,7179
26.05.2012 5:04:46;0,00644;2,21;8,7179
26.05.2012 6:05:46;0,00805;2,21;8,7179
26.05.2012 7:05:46;0,04278;2,21;8,7179
26.05.2012 8:05:42;0,05221;2,22;8,7546
26.05.2012 9:05:44;0,05658;2,22;8,7912
26.05.2012 10:05:42;0,02346;2,22;8,8278
26.05.2012 11:05:44;0,01311;2,22;8,8645
26.05.2012 12:05:48;0,01311;2,22;8,8278
26.05.2012 13:05:50;0,01196;2,22;8,8645
26.05.2012 14:06:14;0,01426;2,22;8,8645
26.05.2012 15:05:56;0,01219;2,22;8,8645
26.05.2012 16:05:42;0,01219;2,22;8,8645
26.05.2012 17:05:48;0,03979;2,22;8,8645
26.05.2012 18:05:44;0,05681;2,22;8,8278
26.05.2012 19:05:48;0,05796;2,21;8,7912
26.05.2012 20:05:52;0,023;2,21;8,7912
26.05.2012 21:05:52;0,01564;2,21;8,7912
26.05.2012 22:05:54;0,01633;2,21;8,7546
26.05.2012 23:05:48;0,01357;2,21;8,7912
27.05.2012 0:05:46;0,01104;2,21;8,7912
27.05.2012 1:04:50;0,00782;2,21;8,7912
27.05.2012 2:04:38;0,00644;2,22;8,7912
27.05.2012 3:04:30;0,00598;2,22;8,7912
27.05.2012 4:04:24;0,00552;2,22;8,7912
27.05.2012 5:04:34;0,00552;2,22;8,7912
27.05.2012 6:05:34;0,0092;2,22;8,7912
27.05.2012 7:05:52;0,03128;2,24;8,8278
27.05.2012 8:06:00;0,05635;2,24;8,8645
27.05.2012 9:06:06;0,05911;2,24;8,8645
27.05.2012 10:05:56;0,03105;2,24;8,9011
27.05.2012 11:05:50;0,01311;2,24;8,8645
27.05.2012 12:05:48;0,01288;2,24;8,9377
27.05.2012 13:05:48;0,0138;2,24;8,9377
27.05.2012 14:05:46;0,01472;2,24;8,9744
27.05.2012 15:05:44;0,01334;2,24;8,9377
27.05.2012 16:05:48;0,0115;2,24;8,9744
27.05.2012 17:05:54;0,03519;2,24;8,9011
27.05.2012 18:05:52;0,05405;2,24;8,9011
27.05.2012 19:05:54;0,0575;2,24;8,9011
27.05.2012 20:05:56;0,03841;2,24;8,9011
27.05.2012 21:06:00;0,0207;2,24;8,8645
27.05.2012 22:06:04;0,01771;2,24;8,8645
27.05.2012 23:05:52;0,01219;2,25;8,8645
28.05.2012 0:05:28;0,00897;2,25;8,8645
28.05.2012 1:04:38;0,00989;2,29;8,9011
28.05.2012 2:05:28;0,0069;2,32;8,9011
28.05.2012 3:04:38;0,00437;2,35;8,9011
28.05.2012 4:04:30;0,00506;2,37;8,9011
28.05.2012 5:04:34;0,00506;2,4;8,8645
28.05.2012 6:05:28;0,00667;2,42;8,9011
28.05.2012 7:05:48;0,04209;2,45;8,9011
28.05.2012 8:05:48;0,05267;2,44;8,9011
28.05.2012 9:05:46;0,03933;2,42;8,9377
28.05.2012 10:06:44;0,01012;2,4;8,9744
28.05.2012 11:06:52;0,00943;2,37;8,9744
28.05.2012 12:07:48;0,00874;2,35;8,9744
28.05.2012 13:07:24;0,01127;2,34;8,9377
28.05.2012 14:07:48;0,00943;2,32;8,9744
28.05.2012 15:08:42;0,00782;2,31;8,9377
28.05.2012 16:07:48;0,00782;2,3;8,9744
28.05.2012 17:07:34;0,04186;2,27;8,9744
28.05.2012 18:07:38;0,0506;2,26;9,011
28.05.2012 19:07:40;0,05037;2,25;8,9744
28.05.2012 20:07:44;0,01472;2,24;8,9377
28.05.2012 21:07:44;0,01196;2,24;8,9377
28.05.2012 22:07:40;0,0161;2,22;8,9377
28.05.2012 23:07:34;0,01357;2,22;8,9377
29.05.2012 0:07:34;0,00966;2,22;8,9377
29.05.2012 1:06:08;0,00644;2,24;8,9377
29.05.2012 2:06:20;0,0046;2,26;8,9377
29.05.2012 3:06:24;0,00598;2,27;8,9744
29.05.2012 4:06:40;0,00529;2,29;8,9744
29.05.2012 5:06:42;0,00644;2,3;8,9377
29.05.2012 6:07:06;0,01035;2,31;8,9377
29.05.2012 7:07:26;0,04071;2,32;8,9744
29.05.2012 8:07:18;0,05175;2,32;9,011
29.05.2012 8:52:04;0,05175;2,32;9,011
29.05.2012 9:06:14;0,0437;2,31;9,011
29.05.2012 10:07:16;0,01633;2,31;9,0476
29.05.2012 11:07:18;0,0069;2,3;9,0476
29.05.2012 12:07:16;0,00667;2,29;9,0842
29.05.2012 13:07:20;0,00897;2,29;9,0842
29.05.2012 14:07:20;0,0092;2,27;9,0842
29.05.2012 15:07:26;0,00782;2,26;9,0842
29.05.2012 16:07:22;0,00759;2,25;9,0842
29.05.2012 17:07:20;0,04439;2,24;9,0842
29.05.2012 18:07:14;0,05152;2,21;9,0842
29.05.2012 19:07:20;0,02576;2,2;9,0476
29.05.2012 20:07:12;0,01104;2,2;9,0476
29.05.2012 21:07:14;0,0138;2,19;9,011
29.05.2012 22:07:18;0,01679;2,17;9,011
29.05.2012 23:07:08;0,0138;2,17;9,011
30.05.2012 0:06:08;0,00828;2,17;9,0476
30.05.2012 1:06:12;0,00529;2,19;9,0476
30.05.2012 2:06:10;0,00391;2,2;9,0476
30.05.2012 3:06:00;0,00391;2,21;9,0476
30.05.2012 4:05:54;0,00368;2,22;9,0476
30.05.2012 5:06:12;0,0046;2,24;9,0476
30.05.2012 6:07:14;0,00644;2,24;9,0476
30.05.2012 7:07:28;0,03726;2,25;9,0476
30.05.2012 8:07:34;0,05221;2,25;9,0476
30.05.2012 9:07:18;0,05474;2,25;9,0476
30.05.2012 10:07:04;0,01909;2,25;9,0476
30.05.2012 11:07:04;0,00943;2,26;9,0476
30.05.2012 12:07:12;0,01081;2,26;9,0842
30.05.2012 13:07:12;0,01311;2,26;9,0842
30.05.2012 14:07:18;0,01242;2,26;9,0842
30.05.2012 14:18:32;0,01265;2,26;9,0842
30.05.2012 15:07:14;0,01081;2,26;9,0842
30.05.2012 16:07:18;0,01012;2,26;9,0842
30.05.2012 17:07:00;0,0161;2,26;9,0842
30.05.2012 18:07:00;0,0529;2,26;9,0842
30.05.2012 19:07:08;0,05888;2,26;9,0842
30.05.2012 20:06:56;0,03795;2,26;9,0842
30.05.2012 21:07:20;0,02024;2,26;9,0842
30.05.2012 22:07:28;0,02001;2,26;9,0842
30.05.2012 23:07:34;0,01564;2,27;9,0842
31.05.2012 0:07:12;0,01196;2,27;9,0842
31.05.2012 1:07:04;0,00736;2,3;9,0842
31.05.2012 2:06:00;0,00805;2,32;9,0842
31.05.2012 3:06:00;0,0115;2,35;9,0842
31.05.2012 4:05:56;0,01104;2,36;9,0842
31.05.2012 5:05:54;0,00966;2,37;9,0842
31.05.2012 6:07:34;0,01081;2,39;9,0842
31.05.2012 7:07:54;0,01518;2,37;9,0842
31.05.2012 8:07:58;0,01426;2,37;9,0842
31.05.2012 9:07:20;0,0115;2,36;9,0842
31.05.2012 10:07:16;0,01104;2,36;9,0842
31.05.2012 11:07:16;0,01104;2,36;9,0842
31.05.2012 12:07:06;0,00966;2,36;9,0842
31.05.2012 13:07:12;0,0115;2,35;9,1575
31.05.2012 14:07:22;0,01173;2,35;9,1941
31.05.2012 15:07:30;0,00966;2,34;9,1941
31.05.2012 16:07:36;0,01196;2,32;9,1941
31.05.2012 17:07:52;0,01242;2,3;9,1941
31.05.2012 18:07:02;0,01357;2,29;9,1575
31.05.2012 19:07:04;0,02369;2,26;9,1575
31.05.2012 20:07:04;0,05221;2,25;9,1575
31.05.2012 21:07:06;0,05819;2,24;9,1575
31.05.2012 22:07:00;0,06486;2,24;9,1209
31.05.2012 23:06:32;0,02829;2,22;9,1209
01.06.2012 0:06:18;0,01357;2,22;9,1575
01.06.2012 1:06:22;0,00805;2,25;9,1575
01.06.2012 2:05:06;0,00782;2,27;9,1575
01.06.2012 3:05:06;0,00736;2,29;9,1575
01.06.2012 4:05:04;0,00782;2,3;9,1575
01.06.2012 5:06:08;0,00667;2,31;9,1575
01.06.2012 6:06:44;0,00943;2,3;9,1575
01.06.2012 7:06:30;0,01725;2,3;9,1575
01.06.2012 8:06:30;0,01656;2,29;9,1941
01.06.2012 9:06:40;0,01196;2,29;9,2308
01.06.2012 10:06:32;0,01265;2,27;9,2308
01.06.2012 11:06:26;0,01058;2,27;9,2308
01.06.2012 12:06:24;0,01127;2,26;9,2308
01.06.2012 13:06:24;0,01196;2,26;9,2674
01.06.2012 14:06:22;0,0115;2,25;9,2308
01.06.2012 15:06:26;0,0115;2,22;9,2674
01.06.2012 16:06:30;0,03197;2,21;9,2308
01.06.2012 17:06:22;0,05106;2,19;9,2308
01.06.2012 18:06:18;0,0552;2,17;9,1941
01.06.2012 19:06:24;0,05865;2,16;9,1941
01.06.2012 20:06:24;0,02852;2,15;9,1941
01.06.2012 21:06:30;0,02461;2,14;9,1941
01.06.2012 22:06:32;0,02392;2,12;9,1941
01.06.2012 23:06:22;0,02047;2,11;9,2308
02.06.2012 0:06:22;0,0138;2,11;9,2308
02.06.2012 1:06:22;0,0138;2,12;9,2674
02.06.2012 2:06:18;0,01196;2,14;9,2674
02.06.2012 3:06:18;0,01265;2,15;9,2674
02.06.2012 4:06:20;0,01196;2,16;9,2674
02.06.2012 5:06:22;0,01173;2,17;9,2308
02.06.2012 6:06:32;0,01311;2,17;9,2308
02.06.2012 7:06:26;0,03427;2,19;9,2308
02.06.2012 8:06:26;0,05566;2,19;9,2308
02.06.2012 9:06:20;0,06003;2,2;9,2308
02.06.2012 10:06:20;0,04761;2,2;9,2308
02.06.2012 11:06:18;0,02162;2,21;9,2674
02.06.2012 12:06:20;0,01909;2,21;9,2674
02.06.2012 13:06:24;0,01817;2,21;9,304
02.06.2012 14:06:22;0,01702;2,21;9,304
02.06.2012 15:06:20;0,01794;2,21;9,304
02.06.2012 16:06:20;0,0207;2,22;9,304
02.06.2012 17:06:18;0,03657;2,22;9,2674
02.06.2012 18:06:16;0,06049;2,22;9,2308
02.06.2012 19:06:22;0,06601;2,21;9,2308
02.06.2012 20:06:08;0,05129;2,21;9,2308
02.06.2012 21:06:18;0,03496;2,21;9,1941
02.06.2012 22:06:18;0,02806;2,21;9,1941
02.06.2012 23:06:22;0,02415;2,21;9,2308
03.06.2012 0:06:22;0,02093;2,21;9,2308
03.06.2012 1:06:20;0,01656;2,21;9,2308
03.06.2012 2:06:22;0,01541;2,21;9,2308
03.06.2012 3:06:24;0,01541;2,21;9,2308
03.06.2012 4:06:24;0,01495;2,21;9,2308
