Date; Q; P; Tg
15.05.2012 13:09:20;0,02553;4,01;7,5458
15.05.2012 14:02:22;0,023;4,01;7,5824
15.05.2012 15:02:20;0,02438;4,01;7,5824
15.05.2012 16:02:42;0,02231;4,01;7,5824
15.05.2012 16:27:26;0,02231;4,01;7,5824
15.05.2012 16:47:22;0,02438;4,01;7,5824
15.05.2012 18:03:02;0,02392;4,04;7,619
15.05.2012 19:03:06;0,02185;4,04;7,6557
15.05.2012 20:03:04;0,02139;4,05;7,7289
15.05.2012 21:03:08;0,02047;4,05;7,6923
15.05.2012 22:03:08;0,02714;4,06;7,6557
15.05.2012 23:03:06;0,02553;4,06;7,6557
16.05.2012 0:03:04;0,02231;4,07;7,6923
16.05.2012 1:03:04;0,02438;4,09;7,6923
16.05.2012 2:03:02;0,0253;4,1;7,6923
16.05.2012 3:03:04;0,02438;4,11;7,6923
16.05.2012 4:03:04;0,02645;4,11;7,6923
16.05.2012 5:03:00;0,02277;4,12;7,6923
16.05.2012 6:03:02;0,0253;4,14;7,6557
16.05.2012 7:03:06;0,02898;4,14;7,6557
16.05.2012 8:02:54;0,03197;4,14;7,6923
16.05.2012 9:02:56;0,02691;4,15;7,7289
16.05.2012 9:41:52;0,02645;4,15;7,7289
16.05.2012 9:53:30;0,0299;4,15;7,7289
16.05.2012 10:06:14;0,02622;4,16;7,7289
16.05.2012 11:06:30;0,02576;4,16;7,7656
16.05.2012 13:31:56;0,03059;4,19;7,8388
16.05.2012 14:28:02;0,03174;4,19;7,8022
16.05.2012 15:15:22;0,03036;4,19;7,8388
16.05.2012 16:06:06;0,03496;4,17;7,7656
16.05.2012 17:06:42;0,03611;4,19;7,7656
16.05.2012 18:06:06;0,03381;4,17;7,7656
16.05.2012 19:06:42;0,03749;4,16;7,7289
16.05.2012 20:06:42;0,03749;4,16;7,6923
16.05.2012 21:05:56;0,03427;4,16;7,6923
16.05.2012 22:05:58;0,03703;4,15;7,6557
16.05.2012 23:05:56;0,02415;4,16;7,6923
17.05.2012 0:05:46;0,02829;4,17;7,7289
17.05.2012 1:05:42;0,02967;4,2;7,7656
17.05.2012 2:05:46;0,02921;4,2;7,8022
17.05.2012 3:05:46;0,02277;4,21;7,7656
17.05.2012 4:05:56;0,02875;4,22;7,7289
17.05.2012 5:05:36;0,02921;4,25;7,7289
17.05.2012 6:05:58;0,02875;4,24;7,6923
17.05.2012 7:06:06;0,03542;4,21;7,6923
17.05.2012 8:21:52;0,04301;4,19;7,7289
17.05.2012 9:13:06;0,03933;4,17;7,6557
17.05.2012 10:21:52;0,04324;4,16;7,6923
17.05.2012 11:05:26;0,04186;4,16;7,7289
17.05.2012 12:05:20;0,04186;4,14;7,8022
17.05.2012 13:05:16;0,04347;4,16;7,7656
17.05.2012 14:05:10;0,04324;4,15;7,7289
17.05.2012 15:05:34;0,04163;4,16;7,7656
17.05.2012 16:06:02;0,04738;4,16;7,8388
18.05.2012 7:44:52;0,04278;4,02;7,7289
18.05.2012 8:05:54;0,04186;4,02;7,7289
