Date; Q; P; Tg
15.05.2012 13:09:20;0,07521;3,89;7,5458
15.05.2012 14:02:22;0,07889;3,89;7,5824
15.05.2012 15:02:20;0,06877;3,89;7,5824
15.05.2012 16:02:42;0,07245;3,89;7,5824
15.05.2012 16:27:26;0,07245;3,89;7,5824
15.05.2012 16:47:22;0,06877;3,89;7,5824
15.05.2012 18:03:02;0,03841;3,89;7,619
15.05.2012 19:03:06;0,04945;3,92;7,6557
15.05.2012 20:03:04;0,05152;3,95;7,7289
15.05.2012 21:03:08;0,04807;3,97;7,6923
15.05.2012 22:03:08;0,04439;3,98;7,6557
15.05.2012 23:03:06;0,03427;3,98;7,6557
16.05.2012 0:03:04;0,02622;3,98;7,6923
16.05.2012 1:03:04;0,02185;3,99;7,6923
16.05.2012 2:03:02;0,02116;4,01;7,6923
16.05.2012 3:03:04;0,02208;4,01;7,6923
16.05.2012 4:03:04;0,02185;4,02;7,6923
16.05.2012 5:03:00;0,02185;4,03;7,6923
16.05.2012 6:03:02;0,02576;4,03;7,6557
16.05.2012 7:03:06;0,07682;4,04;7,6557
16.05.2012 8:02:54;0,08372;4,04;7,6923
16.05.2012 9:02:56;0,07291;4,04;7,7289
16.05.2012 9:41:52;0,07107;4,03;7,7289
16.05.2012 9:53:30;0,07038;4,02;7,7289
16.05.2012 10:06:14;0,06992;4,02;7,7289
16.05.2012 11:06:30;0,06693;4,02;7,7656
16.05.2012 13:31:56;0,06992;4,02;7,8388
16.05.2012 14:28:02;0,06302;4,02;7,8022
16.05.2012 15:15:22;0,06877;4,01;7,8388
16.05.2012 16:06:06;0,06877;4,02;7,7656
16.05.2012 17:06:42;0,02254;4,02;7,7656
16.05.2012 18:06:06;0,02645;4,03;7,7656
16.05.2012 19:06:42;0,0368;4,04;7,7289
16.05.2012 20:06:42;0,0345;4,04;7,6923
16.05.2012 21:05:56;0,03105;4,04;7,6923
16.05.2012 22:05:58;0,02921;4,04;7,6557
16.05.2012 23:05:56;0,02369;4,04;7,6923
17.05.2012 0:05:46;0,01886;4,04;7,7289
17.05.2012 1:05:42;0,01518;4,05;7,7656
17.05.2012 2:05:46;0,01472;4,06;7,8022
17.05.2012 3:05:46;0,01288;4,07;7,7656
17.05.2012 4:05:56;0,01219;4,08;7,7289
17.05.2012 5:05:36;0,01219;4,08;7,7289
17.05.2012 6:05:58;0,01633;4,08;7,6923
17.05.2012 7:06:06;0,02507;4,07;7,6923
17.05.2012 8:21:52;0,05451;4,05;7,7289
17.05.2012 9:13:06;0,0575;4,01;7,6557
17.05.2012 10:21:52;0,06509;3,98;7,6923
17.05.2012 11:05:26;0,07038;3,98;7,7289
17.05.2012 12:05:20;0,07061;3,98;7,8022
17.05.2012 13:05:16;0,07015;3,98;7,7656
17.05.2012 14:05:10;0,0667;3,98;7,7289
17.05.2012 15:05:34;0,07383;3,98;7,7656
17.05.2012 16:06:02;0,06854;3,98;7,8388
18.05.2012 7:44:52;0,08717;4;7,7289
18.05.2012 8:05:54;0,08487;4;7,7289
18.05.2012 9:06:18;0,08234;3,98;7,7289
18.05.2012 10:06:50;0,07843;3,99;7,7656
18.05.2012 11:06:40;0,07406;3,99;7,8022
18.05.2012 12:07:04;0,07337;3,99;7,7656
18.05.2012 13:06:40;0,07498;3,99;7,6923
18.05.2012 14:06:48;0,07268;3,98;7,7289
18.05.2012 15:07:02;0,07337;3,98;7,7656
18.05.2012 16:07:00;0,05934;3,97;7,7656
18.05.2012 17:06:50;0,02369;3,96;7,7656
18.05.2012 18:06:46;0,02438;3,95;7,7656
18.05.2012 19:06:44;0,02714;3,95;7,7289
18.05.2012 20:06:46;0,02852;3,95;7,7289
18.05.2012 21:06:40;0,03197;3,94;7,7289
18.05.2012 22:06:34;0,03588;3,93;7,7289
18.05.2012 23:06:36;0,03013;3,92;7,7289
19.05.2012 0:06:34;0,023;3,92;7,7289
19.05.2012 1:06:52;0,01909;3,92;7,7656
19.05.2012 2:06:56;0,01794;3,92;7,7656
19.05.2012 3:06:40;0,01725;3,93;7,7656
19.05.2012 4:06:14;0,01702;3,93;7,7656
19.05.2012 5:06:24;0,01702;3,93;7,7656
19.05.2012 6:06:40;0,0184;3,94;7,7656
19.05.2012 7:06:44;0,02921;3,93;7,8022
19.05.2012 8:06:36;0,05773;3,93;7,8388
19.05.2012 9:06:40;0,0644;3,92;7,8755
19.05.2012 10:06:40;0,07659;3,92;7,9121
19.05.2012 11:06:40;0,07176;3,92;7,9121
19.05.2012 12:06:56;0,06877;3,9;7,9853
19.05.2012 13:06:38;0,069;3,89;7,9853
19.05.2012 14:06:36;0,05382;3,88;7,9853
19.05.2012 15:06:44;0,03174;3,88;7,9853
19.05.2012 16:06:48;0,01679;3,88;8,022
19.05.2012 17:06:42;0,01863;3,88;8,022
19.05.2012 18:06:48;0,02093;3,88;7,9853
19.05.2012 19:06:50;0,02208;3,88;7,9853
19.05.2012 20:06:50;0,02484;3,88;7,9121
19.05.2012 21:06:50;0,0276;3,88;7,8755
19.05.2012 22:06:52;0,0299;3,88;7,8755
19.05.2012 23:06:46;0,02254;3,87;7,8755
20.05.2012 0:06:48;0,01771;3,87;7,8755
20.05.2012 1:06:12;0,01196;3,88;7,9121
20.05.2012 2:06:14;0,01403;3,88;7,9121
20.05.2012 3:06:32;0,01265;3,89;7,9121
20.05.2012 4:06:30;0,0115;3,89;7,9121
20.05.2012 5:06:36;0,01081;3,89;7,9121
20.05.2012 6:06:26;0,01219;3,89;7,9121
20.05.2012 7:07:00;0,01242;3,9;7,9121
20.05.2012 8:07:12;0,01679;3,9;7,9487
20.05.2012 9:07:14;0,02093;3,9;8,022
20.05.2012 10:07:02;0,02047;3,9;8,0586
20.05.2012 11:06:48;0,02116;3,91;8,0952
20.05.2012 12:06:34;0,02162;3,92;8,1319
20.05.2012 13:06:38;0,01932;3,92;8,1319
20.05.2012 14:07:02;0,01909;3,92;8,0586
20.05.2012 15:06:30;0,0184;3,93;8,0952
20.05.2012 16:06:38;0,02024;3,93;8,1319
20.05.2012 17:06:58;0,02001;3,94;8,0952
20.05.2012 18:07:36;0,02116;3,94;8,0586
20.05.2012 19:07:06;0,02507;3,95;8,0586
20.05.2012 20:06:42;0,02944;3,95;8,022
20.05.2012 21:07:14;0,03289;3,95;8,022
20.05.2012 22:07:24;0,03358;3,95;7,9853
20.05.2012 23:07:10;0,02254;3,95;7,9853
21.05.2012 0:06:24;0,01587;3,95;8,022
21.05.2012 1:05:46;0,01334;3,95;8,022
21.05.2012 2:06:00;0,01265;3,95;8,022
21.05.2012 3:05:52;0,00828;3,95;8,022
21.05.2012 4:06:00;0,00874;3,95;8,022
21.05.2012 5:05:56;0,0092;3,96;8,022
21.05.2012 6:07:02;0,01311;3,95;7,9853
21.05.2012 7:07:50;0,06762;3,95;7,9853
21.05.2012 8:07:38;0,07153;3,95;8,022
21.05.2012 9:07:22;0,04669;3,93;8,0586
21.05.2012 10:07:18;0,04071;3,92;8,0952
21.05.2012 11:07:10;0,0414;3,92;8,0952
21.05.2012 12:07:00;0,03657;3,91;8,1319
21.05.2012 13:07:14;0,04048;3,9;8,1319
21.05.2012 14:07:28;0,04577;3,89;8,1319
21.05.2012 15:07:44;0,03611;3,89;8,1319
21.05.2012 16:06:58;0,03082;3,89;8,1319
21.05.2012 17:07:04;0,03197;3,89;8,1319
21.05.2012 18:06:50;0,0322;3,88;8,1319
21.05.2012 19:06:50;0,0207;3,88;8,0952
21.05.2012 20:06:50;0,02162;3,87;8,0952
21.05.2012 21:06:56;0,02461;3,87;8,0586
21.05.2012 22:06:54;0,02737;3,86;8,0586
21.05.2012 23:06:58;0,02116;3,86;8,0586
22.05.2012 0:06:06;0,01357;3,86;8,0952
22.05.2012 1:05:46;0,0115;3,87;8,0952
22.05.2012 2:05:56;0,01104;3,88;8,1319
22.05.2012 3:05:40;0,01058;3,89;8,1319
22.05.2012 4:05:44;0,00943;3,89;8,1319
22.05.2012 5:05:40;0,01035;3,9;8,1319
22.05.2012 6:06:38;0,01265;3,9;8,1319
22.05.2012 7:06:56;0,03657;3,9;8,1319
22.05.2012 8:07:16;0,04738;3,9;8,1685
22.05.2012 9:07:04;0,04462;3,89;8,2051
22.05.2012 10:06:50;0,03082;3,89;8,2418
22.05.2012 11:07:10;0,03059;3,88;8,2418
22.05.2012 12:07:16;0,03266;3,87;8,2784
22.05.2012 13:07:06;0,03519;3,87;8,2784
22.05.2012 14:06:52;0,03358;3,86;8,2784
22.05.2012 15:08:14;0,01357;3,86;8,2784
22.05.2012 16:07:02;0,01288;3,86;8,2784
22.05.2012 17:07:00;0,01403;3,86;8,2784
22.05.2012 18:06:40;0,01748;3,86;8,2784
22.05.2012 19:07:30;0,023;3,86;8,2418
22.05.2012 20:06:44;0,02369;3,86;8,2418
22.05.2012 21:07:18;0,02461;3,86;8,2051
22.05.2012 22:07:28;0,02507;3,86;8,2051
22.05.2012 23:07:24;0,01886;3,86;8,2051
23.05.2012 0:06:48;0,01426;3,87;8,2418
23.05.2012 1:05:56;0,01219;3,88;8,315
23.05.2012 2:05:48;0,01127;3,89;8,3516
23.05.2012 3:05:46;0,01012;3,89;8,3516
23.05.2012 4:05:52;0,00897;3,9;8,3516
23.05.2012 5:05:54;0,00989;3,91;8,3516
23.05.2012 6:07:14;0,01403;3,92;8,315
23.05.2012 7:07:46;0,05842;3,92;8,315
23.05.2012 8:07:32;0,06785;3,91;8,3516
23.05.2012 9:06:46;0,06095;3,89;8,3516
23.05.2012 10:06:24;0,05704;3,89;8,3516
23.05.2012 11:06:28;0,05704;3,89;8,3516
23.05.2012 12:06:20;0,06003;3,88;8,3883
23.05.2012 13:06:18;0,06049;3,87;8,4249
