Date; Q; P; Tg
15.05.2012 13:09:20;0,04393;4,05;7,5458
15.05.2012 14:02:22;0,04508;4,05;7,5824
15.05.2012 15:02:20;0,04715;4,05;7,5824
15.05.2012 16:02:42;0,03519;4,05;7,5824
15.05.2012 16:27:26;0,03519;4,05;7,5824
15.05.2012 16:47:22;0,04715;4,05;7,5824
15.05.2012 18:03:02;0,08165;4,07;7,619
15.05.2012 19:03:06;0,0621;4,07;7,6557
15.05.2012 20:03:04;0,05244;4,09;7,7289
15.05.2012 21:03:08;0,04876;4,1;7,6923
15.05.2012 22:03:08;0,05313;4,1;7,6557
15.05.2012 23:03:06;0,04623;4,1;7,6557
16.05.2012 0:03:04;0,04163;4,11;7,6923
16.05.2012 1:03:04;0,03243;4,12;7,6923
16.05.2012 2:03:02;0,03082;4,14;7,6923
16.05.2012 3:03:04;0,03427;4,15;7,6923
16.05.2012 4:03:04;0,03496;4,15;7,6923
16.05.2012 5:03:00;0,02783;4,16;7,6923
16.05.2012 6:03:02;0,03358;4,17;7,6557
16.05.2012 7:03:06;0,03933;4,19;7,6557
16.05.2012 8:02:54;0,03427;4,19;7,6923
16.05.2012 9:02:56;0,0345;4,19;7,7289
16.05.2012 9:41:52;0,0345;4,2;7,7289
16.05.2012 9:53:30;0,03749;4,2;7,7289
16.05.2012 10:06:14;0,03726;4,2;7,7289
16.05.2012 11:06:30;0,02829;4,21;7,7656
16.05.2012 13:31:56;0,03657;4,22;7,8388
16.05.2012 14:28:02;0,05083;4,24;7,8022
16.05.2012 15:15:22;0,03427;4,24;7,8388
16.05.2012 16:06:06;0,03197;4,22;7,7656
16.05.2012 17:06:42;0,03197;4,24;7,7656
16.05.2012 18:06:06;0,03266;4,24;7,7656
16.05.2012 19:06:42;0,03933;4,21;7,7289
16.05.2012 20:06:42;0,04048;4,21;7,6923
16.05.2012 21:05:56;0,04577;4,21;7,6923
16.05.2012 22:05:58;0,05359;4,2;7,6557
16.05.2012 23:05:56;0,04278;4,2;7,6923
17.05.2012 0:05:46;0,03657;4,21;7,7289
17.05.2012 1:05:42;0,03197;4,24;7,7656
17.05.2012 2:05:46;0,03473;4,25;7,8022
17.05.2012 3:05:46;0,03496;4,26;7,7656
17.05.2012 4:05:56;0,02852;4,27;7,7289
17.05.2012 5:05:36;0,02852;4,29;7,7289
17.05.2012 6:05:58;0,03496;4,29;7,6923
17.05.2012 7:06:06;0,04002;4,26;7,6923
17.05.2012 8:21:52;0,03634;4,25;7,7289
17.05.2012 9:13:06;0,04117;4,22;7,6557
17.05.2012 10:21:52;0,04071;4,21;7,6923
17.05.2012 11:05:26;0,03703;4,21;7,7289
17.05.2012 12:05:20;0,04623;4,2;7,8022
17.05.2012 13:05:16;0,04094;4,2;7,7656
17.05.2012 14:05:10;0,03864;4,21;7,7289
17.05.2012 15:05:34;0,03726;4,21;7,7656
17.05.2012 16:06:02;0,03887;4,21;7,8388
18.05.2012 7:44:52;0,04899;4,06;7,7289
18.05.2012 8:05:54;0,06946;4,06;7,7289
18.05.2012 9:06:18;0,04347;4,06;7,7289
18.05.2012 10:06:50;0,04692;4,07;7,7656
18.05.2012 11:06:40;0,04186;4,07;7,8022
18.05.2012 12:07:04;0,04163;4,07;7,7656
18.05.2012 13:06:40;0,04324;4,07;7,6923
18.05.2012 14:06:48;0,04117;4,07;7,7289
18.05.2012 15:07:02;0,04117;4,06;7,7656
18.05.2012 16:07:00;0,03519;4,06;7,7656
18.05.2012 17:06:50;0,03795;4,06;7,7656
18.05.2012 18:06:46;0,0414;4,06;7,7656
18.05.2012 19:06:44;0,04163;4,06;7,7289
18.05.2012 20:06:46;0,0437;4,06;7,7289
18.05.2012 21:06:40;0,05152;4,06;7,7289
18.05.2012 22:06:34;0,0529;4,05;7,7289
18.05.2012 23:06:36;0,03726;4,05;7,7289
19.05.2012 0:06:34;0,04278;4,05;7,7289
19.05.2012 1:06:52;0,03565;4,05;7,7656
19.05.2012 2:06:56;0,03496;4,05;7,7656
19.05.2012 3:06:40;0,03657;4,05;7,7656
19.05.2012 4:06:14;0,03013;4,05;7,7656
19.05.2012 5:06:24;0,03657;4,05;7,7656
19.05.2012 6:06:40;0,03358;4,06;7,7656
19.05.2012 7:06:44;0,0575;4,05;7,8022
19.05.2012 8:06:36;0,03174;4,05;7,8388
19.05.2012 9:06:40;0,03887;4,05;7,8755
19.05.2012 10:06:40;0,0391;4,05;7,9121
19.05.2012 11:06:40;0,03703;4,04;7,9121
19.05.2012 12:06:56;0,03381;4,04;7,9853
19.05.2012 13:06:38;0,04025;4,02;7,9853
19.05.2012 14:06:36;0,03657;4,02;7,9853
19.05.2012 15:06:44;0,04324;4,02;7,9853
19.05.2012 16:06:48;0,0414;4,02;8,022
19.05.2012 17:06:42;0,04117;4,04;8,022
19.05.2012 18:06:48;0,03082;4,02;7,9853
19.05.2012 19:06:50;0,04439;4,04;7,9853
19.05.2012 20:06:50;0,04324;4,04;7,9121
19.05.2012 21:06:50;0,04945;4,02;7,8755
19.05.2012 22:06:52;0,05336;4,02;7,8755
19.05.2012 23:06:46;0,04715;4,02;7,8755
20.05.2012 0:06:48;0,03358;4,02;7,8755
20.05.2012 1:06:12;0,03427;4,04;7,9121
20.05.2012 2:06:14;0,03542;4,04;7,9121
20.05.2012 3:06:32;0,03335;4,04;7,9121
20.05.2012 4:06:30;0,03151;4,05;7,9121
20.05.2012 5:06:36;0,03289;4,05;7,9121
20.05.2012 6:06:26;0,03565;4,05;7,9121
20.05.2012 7:07:00;0,03611;4,05;7,9121
20.05.2012 8:07:12;0,03427;4,06;7,9487
20.05.2012 9:07:14;0,04163;4,06;8,022
20.05.2012 10:07:02;0,046;4,05;8,0586
20.05.2012 11:06:48;0,03473;4,05;8,0952
20.05.2012 12:06:34;0,03772;4,05;8,1319
20.05.2012 13:06:38;0,03956;4,04;8,1319
